Master Seed,Membrane Seed,Input Seed,Input Sigma,Corrected,Minimum Input,Window Size,RP Offset,Correction Duration,Correction Current,Confidence Scaling,Recall Threshold,Memories Stored,Recalls,Mean Error,Final Position Error
9032867582,2390786556,6983476394,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,9,40,0.0917118242279726,0.1157683682600304
9032867583,2390786557,6983476395,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,9,40,0.0901502190734069,0.0884161733994996
9032867584,2390786558,6983476396,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,9,40,0.0862703332033413,0.1157540450722006
9032867585,2390786559,6983476397,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,9,40,0.0887152184719436,0.1296866815638663
9032867586,2390786560,6983476398,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,9,40,0.1179870228883402,0.0240238047152334
9032867587,2390786561,6983476399,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,9,40,0.0873598113536832,0.1019464881208825
9032867588,2390786562,6983476400,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,9,40,0.1020260765872534,0.0899430920594197
9032867589,2390786563,6983476401,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,9,40,0.0997099620373304,0.1495222976452725
9032867590,2390786564,6983476402,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,9,40,0.0953670232869487,0.0387601510294414
9032867591,2390786565,6983476403,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,9,40,0.1476238762105185,0.1532619811271941
9032867592,2390786566,6983476404,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,9,40,0.1183214155879028,0.0482446852932034
9032867593,2390786567,6983476405,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,9,40,0.1027875485633756,0.077101640485138
9032867594,2390786568,6983476406,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,9,40,0.0932024915068173,0.0722207365716411
9032867595,2390786569,6983476407,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,9,40,0.1004900202019701,0.1752597247582398
9032867596,2390786570,6983476408,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,9,40,0.093552029861292,0.0741075098767953
9032867597,2390786571,6983476409,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,9,40,0.1024829420928698,0.078629140480784
