Master Seed,Membrane Seed,Input Seed,Input Sigma,Corrected,Minimum Input,Window Size,RP Offset,Correction Duration,Correction Current,Confidence Scaling,Recall Threshold,Memories Stored,Recalls,Mean Error,Final Position Error
9032867582,2390786556,6983476394,0.6035333489642621,False,2700,10,0,500.0,450.0,True,0.8,0,0,0.1271432151298095,0.1807789495412472
9032867583,2390786557,6983476395,0.6035333489642621,False,2700,10,0,500.0,450.0,True,0.8,0,0,0.1259551531666892,0.2025362314599556
9032867584,2390786558,6983476396,0.6035333489642621,False,2700,10,0,500.0,450.0,True,0.8,0,0,0.1292175017792806,0.1766604743341083
9032867585,2390786559,6983476397,0.6035333489642621,False,2700,10,0,500.0,450.0,True,0.8,0,0,0.1275698537596913,0.1908992519967615
9032867586,2390786560,6983476398,0.6035333489642621,False,2700,10,0,500.0,450.0,True,0.8,0,0,0.1216933722813923,0.1300881349208814
9032867587,2390786561,6983476399,0.6035333489642621,False,2700,10,0,500.0,450.0,True,0.8,0,0,0.1292297197417025,0.210389981051528
9032867588,2390786562,6983476400,0.6035333489642621,False,2700,10,0,500.0,450.0,True,0.8,0,0,0.1266955070788502,0.206569244310191
9032867589,2390786563,6983476401,0.6035333489642621,False,2700,10,0,500.0,450.0,True,0.8,0,0,0.1313157514188883,0.1999481208893578
9032867590,2390786564,6983476402,0.6035333489642621,False,2700,10,0,500.0,450.0,True,0.8,0,0,0.1275624895730503,0.1478145289953807
9032867591,2390786565,6983476403,0.6035333489642621,False,2700,10,0,500.0,450.0,True,0.8,0,0,0.1242809541118109,0.1599977455185625
9032867592,2390786566,6983476404,0.6035333489642621,False,2700,10,0,500.0,450.0,True,0.8,0,0,0.1287762294301747,0.2202895028483734
9032867593,2390786567,6983476405,0.6035333489642621,False,2700,10,0,500.0,450.0,True,0.8,0,0,0.1305927772445168,0.1970241324868672
9032867594,2390786568,6983476406,0.6035333489642621,False,2700,10,0,500.0,450.0,True,0.8,0,0,0.1253800102486538,0.2122171918463025
9032867595,2390786569,6983476407,0.6035333489642621,False,2700,10,0,500.0,450.0,True,0.8,0,0,0.1320797926680804,0.1607120390151581
