Master Seed,Membrane Seed,Input Seed,Input Sigma,Corrected,Minimum Input,Window Size,RP Offset,Correction Duration,Correction Current,Confidence Scaling,Recall Threshold,Memories Stored,Recalls,Mean Error,Final Position Error
9032867582,2390786556,6983476394,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,9,40,0.0865724825409367,0.0307952859679909
9032867583,2390786557,6983476395,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,9,40,0.0942491942901828,0.0556801518633786
9032867584,2390786558,6983476396,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,9,40,0.0969774092114427,0.0574383134318225
9032867585,2390786559,6983476397,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,9,40,0.1030959063532288,0.0321039053784897
9032867586,2390786560,6983476398,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,9,40,0.0857560954844324,0.0471482048212615
9032867587,2390786561,6983476399,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,9,40,0.1143810767770003,1.7199419354515073
9032867588,2390786562,6983476400,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,9,40,0.1143658575879518,0.0144386895793365
9032867589,2390786563,6983476401,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,9,40,0.0814148698311394,0.0502915532287417
9032867590,2390786564,6983476402,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,9,40,0.1239862394732545,0.0438076126975617
9032867591,2390786565,6983476403,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,9,40,0.1134048492027489,1.7381978372472195
9032867592,2390786566,6983476404,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,9,40,0.1015041406853981,0.0637908268772252
9032867593,2390786567,6983476405,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,9,40,0.0816856677532778,0.0493368328060343
9032867594,2390786568,6983476406,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,9,40,0.0958905339903277,1.6780228549527894
9032867595,2390786569,6983476407,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,9,40,0.0919660167659118,1.7071501742028583
